"Tanggal","Penumpang.Berangkat"
2023-08-19,6222
2023-08-20,6758
2023-08-21,6542
2023-08-22,7400
2023-08-23,7196
2023-08-24,6663
2023-08-25,6754
2023-08-26,6897
2023-08-27,6753
2023-08-28,6066
2023-08-29,5918
2023-08-30,7205
2023-08-31,6607
2023-09-01,6803
2023-09-02,6492
2023-09-03,6590
2023-09-04,6000
2023-09-05,6053
2023-09-06,6798
2023-09-07,6446
2023-09-08,6949
2023-09-09,6078
2023-09-10,6333
2023-09-11,5989
2023-09-12,5853
2023-09-13,7407
2023-09-14,6707
2023-09-15,7335
2023-09-16,6170
2023-09-17,6706
2023-09-18,6143
2023-09-19,5777
2023-09-20,7451
2023-09-21,6617
2023-09-22,6865
2023-09-23,6817
2023-09-24,7057
2023-09-25,6580
2023-09-26,6020
2023-09-27,5468
2023-09-28,6914
2023-09-29,5778
2023-09-30,5830
2023-10-01,7837
2023-10-02,6660
2023-10-03,6012
2023-10-04,7587
2023-10-05,7284
2023-10-06,7439
2023-10-07,6300
2023-10-08,7104
2023-10-09,6236
2023-10-10,6628
2023-10-11,7812
2023-10-12,7709
2023-10-13,7757
2023-10-14,6160
2023-10-15,7015
2023-10-16,6511
2023-10-17,6138
2023-10-18,7552
2023-10-19,6972
2023-10-20,7548
2023-10-21,5861
2023-10-22,6330
2023-10-23,6489
2023-10-24,6252
2023-10-25,7732
2023-10-26,8761
2023-10-27,7112
2023-10-28,6580
2023-10-29,6464
2023-10-30,6836
2023-10-31,5838
2023-11-01,7150
2023-11-02,7761
2023-11-03,7879
2023-11-04,6460
2023-11-05,6511
2023-11-06,6768
2023-11-07,6174
2023-11-08,7385
2023-11-09,7617
2023-11-10,7663
2023-11-11,5738
2023-11-12,6566
2023-11-13,6759
2023-11-14,6053
2023-11-15,7879
2023-11-16,7720
2023-11-17,7295
2023-11-18,6194
2023-11-19,6960
2023-11-20,7232
2023-11-21,5863
2023-11-22,7305
2023-11-23,7102
2023-11-24,7741
2023-11-25,6451
2023-11-26,7418
2023-11-27,7552
2023-11-28,6072
2023-11-29,6937
2023-11-30,7517
2023-12-01,6909
2023-12-02,5450
2023-12-03,6313
2023-12-04,6038
2023-12-05,5936
2023-12-06,7623
2023-12-07,7175
2023-12-08,7720
2023-12-09,6607
2023-12-10,7938
2023-12-11,6936
